Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
"2017","Annual","California","Not Adj","Not Prelim","19,205,300","18,285,500","919,800","4.8"
"2017","Jan","California","Not Adj","Not Prelim","19,069,400","18,000,900","1,068,500","5.6"
"2017","Feb","California","Not Adj","Not Prelim","19,168,500","18,137,400","1,031,100","5.4"
"2017","Mar","California","Not Adj","Not Prelim","19,200,000","18,218,500","981,400","5.1"
"2017","Apr","California","Not Adj","Not Prelim","19,150,300","18,258,800","891,500","4.7"
"2017","May","California","Not Adj","Not Prelim","19,124,600","18,277,100","847,400","4.4"
"2017","Jun","California","Not Adj","Not Prelim","19,193,800","18,260,900","932,900","4.9"
"2017","Jul","California","Not Adj","Not Prelim","19,303,200","18,309,400","993,800","5.1"
"2017","Aug","California","Not Adj","Not Prelim","19,257,200","18,292,700","964,500","5.0"
"2017","Sep","California","Not Adj","Not Prelim","19,356,300","18,498,700","857,500","4.4"
"2017","Oct","California","Not Adj","Not Prelim","19,245,500","18,418,600","826,900","4.3"
"2017","Nov","California","Not Adj","Not Prelim","19,248,400","18,420,600","827,700","4.3"
"2017","Dec","California","Not Adj","Not Prelim","19,146,700","18,332,200","814,500","4.3"
"2016","Annual","California","Not Adj","Not Prelim","19,044,500","18,002,800","1,041,700","5.5"
"2016","Jan","California","Not Adj","Not Prelim","18,874,400","17,760,800","1,113,600","5.9"
"2016","Feb","California","Not Adj","Not Prelim","18,991,800","17,900,500","1,091,300","5.7"
"2016","Mar","California","Not Adj","Not Prelim","19,037,300","17,938,700","1,098,600","5.8"
"2016","Apr","California","Not Adj","Not Prelim","18,965,600","17,953,700","1,011,900","5.3"
"2016","May","California","Not Adj","Not Prelim","18,963,700","18,018,600","945,100","5.0"
"2016","Jun","California","Not Adj","Not Prelim","19,034,100","17,969,600","1,064,500","5.6"
"2016","Jul","California","Not Adj","Not Prelim","19,144,400","18,025,800","1,118,500","5.8"
"2016","Aug","California","Not Adj","Not Prelim","19,110,900","18,035,900","1,075,000","5.6"
"2016","Sep","California","Not Adj","Not Prelim","19,158,400","18,134,000","1,024,400","5.3"
"2016","Oct","California","Not Adj","Not Prelim","19,142,600","18,126,600","1,016,000","5.3"
"2016","Nov","California","Not Adj","Not Prelim","19,098,800","18,127,500","971,300","5.1"
"2016","Dec","California","Not Adj","Not Prelim","19,011,800","18,041,700","970,100","5.1"
"2015","Annual","California","Not Adj","Not Prelim","18,851,100","17,681,800","1,169,200","6.2"
"2015","Jan","California","Not Adj","Not Prelim","18,787,300","17,437,700","1,349,600","7.2"
"2015","Feb","California","Not Adj","Not Prelim","18,817,300","17,529,900","1,287,400","6.8"
"2015","Mar","California","Not Adj","Not Prelim","18,802,700","17,555,200","1,247,500","6.6"
"2015","Apr","California","Not Adj","Not Prelim","18,792,900","17,641,600","1,151,300","6.1"
"2015","May","California","Not Adj","Not Prelim","18,893,900","17,734,500","1,159,400","6.1"
"2015","Jun","California","Not Adj","Not Prelim","18,865,100","17,676,900","1,188,100","6.3"
"2015","Jul","California","Not Adj","Not Prelim","18,926,200","17,686,600","1,239,600","6.5"
"2015","Aug","California","Not Adj","Not Prelim","18,868,400","17,721,100","1,147,200","6.1"
"2015","Sep","California","Not Adj","Not Prelim","18,826,800","17,763,000","1,063,800","5.7"
"2015","Oct","California","Not Adj","Not Prelim","18,882,700","17,810,900","1,071,700","5.7"
"2015","Nov","California","Not Adj","Not Prelim","18,891,700","17,819,700","1,071,900","5.7"
"2015","Dec","California","Not Adj","Not Prelim","18,858,100","17,804,900","1,053,200","5.6"
"2014","Annual","California","Not Adj","Not Prelim","18,714,700","17,310,900","1,403,800","7.5"
"2014","Jan","California","Not Adj","Not Prelim","18,531,700","16,972,300","1,559,500","8.4"
"2014","Feb","California","Not Adj","Not Prelim","18,631,800","17,074,500","1,557,300","8.4"
"2014","Mar","California","Not Adj","Not Prelim","18,696,400","17,157,100","1,539,400","8.2"
"2014","Apr","California","Not Adj","Not Prelim","18,567,400","17,219,100","1,348,400","7.3"
"2014","May","California","Not Adj","Not Prelim","18,650,900","17,301,600","1,349,200","7.2"
"2014","Jun","California","Not Adj","Not Prelim","18,702,100","17,302,900","1,399,200","7.5"
"2014","Jul","California","Not Adj","Not Prelim","18,814,000","17,315,300","1,498,700","8.0"
"2014","Aug","California","Not Adj","Not Prelim","18,778,400","17,347,100","1,431,200","7.6"
"2014","Sep","California","Not Adj","Not Prelim","18,787,600","17,467,500","1,320,200","7.0"
"2014","Oct","California","Not Adj","Not Prelim","18,855,900","17,555,300","1,300,600","6.9"
"2014","Nov","California","Not Adj","Not Prelim","18,840,600","17,536,500","1,304,000","6.9"
"2014","Dec","California","Not Adj","Not Prelim","18,719,600","17,482,000","1,237,600","6.6"
"2013","Annual","California","Not Adj","Not Prelim","18,625,000","16,958,400","1,666,600","8.9"
"2013","Jan","California","Not Adj","Not Prelim","18,598,300","16,692,800","1,905,600","10.2"
"2013","Feb","California","Not Adj","Not Prelim","18,607,200","16,804,100","1,803,200","9.7"
"2013","Mar","California","Not Adj","Not Prelim","18,552,400","16,820,100","1,732,400","9.3"
"2013","Apr","California","Not Adj","Not Prelim","18,550,000","16,928,800","1,621,100","8.7"
"2013","May","California","Not Adj","Not Prelim","18,616,000","17,016,000","1,600,000","8.6"
"2013","Jun","California","Not Adj","Not Prelim","18,705,000","16,975,900","1,729,200","9.2"
"2013","Jul","California","Not Adj","Not Prelim","18,752,000","16,995,600","1,756,400","9.4"
"2013","Aug","California","Not Adj","Not Prelim","18,685,400","17,016,700","1,668,700","8.9"
"2013","Sep","California","Not Adj","Not Prelim","18,690,500","17,105,800","1,584,800","8.5"
"2013","Oct","California","Not Adj","Not Prelim","18,592,100","17,006,000","1,586,200","8.5"
"2013","Nov","California","Not Adj","Not Prelim","18,614,400","17,084,300","1,530,100","8.2"
"2013","Dec","California","Not Adj","Not Prelim","18,536,400","17,054,900","1,481,500","8.0"
"2012","Annual","California","Not Adj","Not Prelim","18,523,800","16,602,700","1,921,100","10.4"
"2012","Jan","California","Not Adj","Not Prelim","18,375,800","16,280,900","2,094,900","11.4"
"2012","Feb","California","Not Adj","Not Prelim","18,467,700","16,388,400","2,079,200","11.3"
"2012","Mar","California","Not Adj","Not Prelim","18,468,000","16,434,000","2,034,000","11.0"
"2012","Apr","California","Not Adj","Not Prelim","18,388,300","16,493,700","1,894,600","10.3"
"2012","May","California","Not Adj","Not Prelim","18,476,500","16,597,700","1,878,800","10.2"
"2012","Jun","California","Not Adj","Not Prelim","18,564,600","16,587,900","1,976,700","10.6"
"2012","Jul","California","Not Adj","Not Prelim","18,618,000","16,583,600","2,034,400","10.9"
"2012","Aug","California","Not Adj","Not Prelim","18,555,000","16,621,600","1,933,500","10.4"
"2012","Sep","California","Not Adj","Not Prelim","18,568,100","16,783,200","1,784,900","9.6"
"2012","Oct","California","Not Adj","Not Prelim","18,650,600","16,848,300","1,802,200","9.7"
"2012","Nov","California","Not Adj","Not Prelim","18,573,300","16,815,200","1,758,100","9.5"
"2012","Dec","California","Not Adj","Not Prelim","18,579,700","16,797,500","1,782,200","9.6"
"2011","Annual","California","Not Adj","Not Prelim","18,415,100","16,258,100","2,157,000","11.7"
"2011","Jan","California","Not Adj","Not Prelim","18,307,200","16,005,300","2,301,900","12.6"
"2011","Feb","California","Not Adj","Not Prelim","18,326,400","16,082,600","2,243,800","12.2"
"2011","Mar","California","Not Adj","Not Prelim","18,353,700","16,138,200","2,215,500","12.1"
"2011","Apr","California","Not Adj","Not Prelim","18,313,700","16,204,900","2,108,800","11.5"
"2011","May","California","Not Adj","Not Prelim","18,332,700","16,261,000","2,071,700","11.3"
"2011","Jun","California","Not Adj","Not Prelim","18,400,500","16,201,200","2,199,400","12.0"
"2011","Jul","California","Not Adj","Not Prelim","18,465,000","16,212,800","2,252,200","12.2"
"2011","Aug","California","Not Adj","Not Prelim","18,497,600","16,301,500","2,196,100","11.9"
"2011","Sep","California","Not Adj","Not Prelim","18,511,100","16,387,300","2,123,800","11.5"
"2011","Oct","California","Not Adj","Not Prelim","18,518,300","16,425,700","2,092,600","11.3"
"2011","Nov","California","Not Adj","Not Prelim","18,485,700","16,445,000","2,040,700","11.0"
"2011","Dec","California","Not Adj","Not Prelim","18,469,300","16,432,100","2,037,200","11.0"
"2010","Annual","California","Not Adj","Not Prelim","18,336,300","16,091,900","2,244,300","12.2"
"2010","Jan","California","Not Adj","Not Prelim","18,178,400","15,863,100","2,315,200","12.7"
"2010","Feb","California","Not Adj","Not Prelim","18,231,500","15,931,100","2,300,400","12.6"
"2010","Mar","California","Not Adj","Not Prelim","18,283,000","15,970,700","2,312,400","12.6"
"2010","Apr","California","Not Adj","Not Prelim","18,357,600","16,156,400","2,201,200","12.0"
"2010","May","California","Not Adj","Not Prelim","18,318,800","16,178,500","2,140,300","11.7"
"2010","Jun","California","Not Adj","Not Prelim","18,330,200","16,123,300","2,206,900","12.0"
"2010","Jul","California","Not Adj","Not Prelim","18,432,500","16,115,900","2,316,500","12.6"
"2010","Aug","California","Not Adj","Not Prelim","18,443,600","16,172,000","2,271,600","12.3"
"2010","Sep","California","Not Adj","Not Prelim","18,394,000","16,196,600","2,197,300","11.9"
"2010","Oct","California","Not Adj","Not Prelim","18,348,900","16,160,300","2,188,600","11.9"
"2010","Nov","California","Not Adj","Not Prelim","18,387,000","16,118,600","2,268,400","12.3"
"2010","Dec","California","Not Adj","Not Prelim","18,329,800","16,116,800","2,213,000","12.1"
"2009","Annual","California","Not Adj","Not Prelim","18,215,100","16,182,600","2,032,600","11.2"
"2009","Jan","California","Not Adj","Not Prelim","18,241,200","16,372,600","1,868,600","10.2"
"2009","Feb","California","Not Adj","Not Prelim","18,275,100","16,339,900","1,935,200","10.6"
"2009","Mar","California","Not Adj","Not Prelim","18,249,200","16,257,800","1,991,400","10.9"
"2009","Apr","California","Not Adj","Not Prelim","18,201,500","16,300,900","1,900,600","10.4"
"2009","May","California","Not Adj","Not Prelim","18,192,600","16,260,600","1,932,000","10.6"
"2009","Jun","California","Not Adj","Not Prelim","18,267,200","16,207,000","2,060,200","11.3"
"2009","Jul","California","Not Adj","Not Prelim","18,327,200","16,185,200","2,142,100","11.7"
"2009","Aug","California","Not Adj","Not Prelim","18,254,800","16,149,000","2,105,700","11.5"
"2009","Sep","California","Not Adj","Not Prelim","18,159,500","16,080,500","2,079,000","11.4"
"2009","Oct","California","Not Adj","Not Prelim","18,163,800","16,049,500","2,114,300","11.6"
"2009","Nov","California","Not Adj","Not Prelim","18,174,700","16,047,400","2,127,200","11.7"
"2009","Dec","California","Not Adj","Not Prelim","18,074,800","15,940,400","2,134,400","11.8"
"2017","Annual","Alameda County","Not Adj","Not Prelim","840,200","809,400","30,900","3.7"
"2017","Jan","Alameda County","Not Adj","Not Prelim","836,100","800,400","35,700","4.3"
"2017","Feb","Alameda County","Not Adj","Not Prelim","838,600","805,200","33,500","4.0"
"2017","Mar","Alameda County","Not Adj","Not Prelim","841,800","809,800","32,000","3.8"
"2017","Apr","Alameda County","Not Adj","Not Prelim","835,600","806,200","29,400","3.5"
"2017","May","Alameda County","Not Adj","Not Prelim","835,100","806,500","28,600","3.4"
"2017","Jun","Alameda County","Not Adj","Not Prelim","839,200","806,700","32,500","3.9"
"2017","Jul","Alameda County","Not Adj","Not Prelim","846,100","811,600","34,500","4.1"
"2017","Aug","Alameda County","Not Adj","Not Prelim","842,300","808,600","33,800","4.0"
"2017","Sep","Alameda County","Not Adj","Not Prelim","846,200","816,800","29,400","3.5"
"2017","Oct","Alameda County","Not Adj","Not Prelim","842,400","814,200","28,300","3.4"
"2017","Nov","Alameda County","Not Adj","Not Prelim","841,200","813,900","27,200","3.2"
"2017","Dec","Alameda County","Not Adj","Not Prelim","838,300","812,600","25,700","3.1"
"2016","Annual","Alameda County","Not Adj","Not Prelim","832,500","796,800","35,700","4.3"
"2016","Jan","Alameda County","Not Adj","Not Prelim","822,900","786,400","36,600","4.4"
"2016","Feb","Alameda County","Not Adj","Not Prelim","828,200","792,000","36,200","4.4"
"2016","Mar","Alameda County","Not Adj","Not Prelim","831,000","794,300","36,700","4.4"
"2016","Apr","Alameda County","Not Adj","Not Prelim","826,700","792,300","34,400","4.2"
"2016","May","Alameda County","Not Adj","Not Prelim","826,400","794,200","32,200","3.9"
"2016","Jun","Alameda County","Not Adj","Not Prelim","831,400","793,800","37,600","4.5"
"2016","Jul","Alameda County","Not Adj","Not Prelim","838,500","799,200","39,300","4.7"
"2016","Aug","Alameda County","Not Adj","Not Prelim","835,900","797,800","38,200","4.6"
"2016","Sep","Alameda County","Not Adj","Not Prelim","838,700","802,600","36,100","4.3"
"2016","Oct","Alameda County","Not Adj","Not Prelim","839,100","803,100","36,000","4.3"
"2016","Nov","Alameda County","Not Adj","Not Prelim","837,000","803,700","33,300","4.0"
"2016","Dec","Alameda County","Not Adj","Not Prelim","833,500","801,500","31,900","3.8"
"2015","Annual","Alameda County","Not Adj","Not Prelim","819,700","780,800","38,900","4.7"
"2015","Jan","Alameda County","Not Adj","Not Prelim","813,700","770,300","43,500","5.3"
"2015","Feb","Alameda County","Not Adj","Not Prelim","814,200","773,000","41,200","5.1"
"2015","Mar","Alameda County","Not Adj","Not Prelim","815,700","775,500","40,200","4.9"
"2015","Apr","Alameda County","Not Adj","Not Prelim","815,300","778,000","37,300","4.6"
"2015","May","Alameda County","Not Adj","Not Prelim","819,700","781,600","38,100","4.7"
"2015","Jun","Alameda County","Not Adj","Not Prelim","820,100","780,000","40,000","4.9"
"2015","Jul","Alameda County","Not Adj","Not Prelim","825,100","783,000","42,100","5.1"
"2015","Aug","Alameda County","Not Adj","Not Prelim","822,700","783,100","39,600","4.8"
"2015","Sep","Alameda County","Not Adj","Not Prelim","820,200","783,800","36,400","4.4"
"2015","Oct","Alameda County","Not Adj","Not Prelim","822,400","785,300","37,000","4.5"
"2015","Nov","Alameda County","Not Adj","Not Prelim","823,800","787,500","36,400","4.4"
"2015","Dec","Alameda County","Not Adj","Not Prelim","823,800","789,100","34,700","4.2"
"2014","Annual","Alameda County","Not Adj","Not Prelim","808,100","761,100","47,000","5.8"
"2014","Jan","Alameda County","Not Adj","Not Prelim","798,500","747,000","51,500","6.4"
"2014","Feb","Alameda County","Not Adj","Not Prelim","802,500","750,800","51,700","6.4"
"2014","Mar","Alameda County","Not Adj","Not Prelim","804,900","753,800","51,100","6.3"
"2014","Apr","Alameda County","Not Adj","Not Prelim","799,700","755,600","44,100","5.5"
"2014","May","Alameda County","Not Adj","Not Prelim","803,700","758,700","45,000","5.6"
"2014","Jun","Alameda County","Not Adj","Not Prelim","807,700","760,300","47,400","5.9"
"2014","Jul","Alameda County","Not Adj","Not Prelim","814,900","763,700","51,200","6.3"
"2014","Aug","Alameda County","Not Adj","Not Prelim","811,000","761,600","49,400","6.1"
"2014","Sep","Alameda County","Not Adj","Not Prelim","811,300","766,300","45,000","5.5"
"2014","Oct","Alameda County","Not Adj","Not Prelim","814,800","770,400","44,400","5.4"
"2014","Nov","Alameda County","Not Adj","Not Prelim","816,200","772,600","43,500","5.3"
"2014","Dec","Alameda County","Not Adj","Not Prelim","812,100","772,400","39,700","4.9"
"2013","Annual","Alameda County","Not Adj","Not Prelim","802,800","744,800","58,000","7.2"
"2013","Jan","Alameda County","Not Adj","Not Prelim","803,300","736,900","66,400","8.3"
"2013","Feb","Alameda County","Not Adj","Not Prelim","802,700","740,100","62,600","7.8"
"2013","Mar","Alameda County","Not Adj","Not Prelim","801,700","741,400","60,400","7.5"
"2013","Apr","Alameda County","Not Adj","Not Prelim","799,800","743,800","56,000","7.0"
"2013","May","Alameda County","Not Adj","Not Prelim","801,200","745,200","55,900","7.0"
"2013","Jun","Alameda County","Not Adj","Not Prelim","802,700","741,600","61,100","7.6"
"2013","Jul","Alameda County","Not Adj","Not Prelim","809,800","747,800","62,000","7.7"
"2013","Aug","Alameda County","Not Adj","Not Prelim","805,300","746,200","59,100","7.3"
"2013","Sep","Alameda County","Not Adj","Not Prelim","805,500","749,800","55,700","6.9"
"2013","Oct","Alameda County","Not Adj","Not Prelim","801,300","745,600","55,700","6.9"
"2013","Nov","Alameda County","Not Adj","Not Prelim","802,100","749,600","52,500","6.5"
"2013","Dec","Alameda County","Not Adj","Not Prelim","798,400","749,200","49,200","6.2"
"2012","Annual","Alameda County","Not Adj","Not Prelim","798,400","729,000","69,400","8.7"
"2012","Jan","Alameda County","Not Adj","Not Prelim","790,200","716,300","73,900","9.4"
"2012","Feb","Alameda County","Not Adj","Not Prelim","793,400","719,700","73,700","9.3"
"2012","Mar","Alameda County","Not Adj","Not Prelim","795,200","722,300","72,900","9.2"
"2012","Apr","Alameda County","Not Adj","Not Prelim","791,700","723,800","67,900","8.6"
"2012","May","Alameda County","Not Adj","Not Prelim","793,500","725,400","68,100","8.6"
"2012","Jun","Alameda County","Not Adj","Not Prelim","797,400","724,800","72,500","9.1"
"2012","Jul","Alameda County","Not Adj","Not Prelim","803,400","729,200","74,200","9.2"
"2012","Aug","Alameda County","Not Adj","Not Prelim","800,900","729,500","71,400","8.9"
"2012","Sep","Alameda County","Not Adj","Not Prelim","801,200","735,800","65,400","8.2"
"2012","Oct","Alameda County","Not Adj","Not Prelim","805,400","739,400","66,000","8.2"
"2012","Nov","Alameda County","Not Adj","Not Prelim","803,600","740,000","63,600","7.9"
"2012","Dec","Alameda County","Not Adj","Not Prelim","805,100","742,400","62,700","7.8"
"2011","Annual","Alameda County","Not Adj","Not Prelim","786,800","707,400","79,400","10.1"
"2011","Jan","Alameda County","Not Adj","Not Prelim","779,000","694,600","84,400","10.8"
"2011","Feb","Alameda County","Not Adj","Not Prelim","778,300","696,300","81,900","10.5"
"2011","Mar","Alameda County","Not Adj","Not Prelim","781,800","700,300","81,500","10.4"
"2011","Apr","Alameda County","Not Adj","Not Prelim","781,200","703,400","77,800","10.0"
"2011","May","Alameda County","Not Adj","Not Prelim","781,300","704,500","76,800","9.8"
"2011","Jun","Alameda County","Not Adj","Not Prelim","785,300","703,100","82,200","10.5"
"2011","Jul","Alameda County","Not Adj","Not Prelim","790,900","707,800","83,100","10.5"
"2011","Aug","Alameda County","Not Adj","Not Prelim","792,100","710,500","81,600","10.3"
"2011","Sep","Alameda County","Not Adj","Not Prelim","791,700","712,900","78,700","9.9"
"2011","Oct","Alameda County","Not Adj","Not Prelim","793,800","716,300","77,500","9.8"
"2011","Nov","Alameda County","Not Adj","Not Prelim","792,500","717,900","74,600","9.4"
"2011","Dec","Alameda County","Not Adj","Not Prelim","793,300","721,000","72,300","9.1"
"2010","Annual","Alameda County","Not Adj","Not Prelim","782,500","697,100","85,400","10.9"
"2010","Jan","Alameda County","Not Adj","Not Prelim","780,100","692,800","87,300","11.2"
"2010","Feb","Alameda County","Not Adj","Not Prelim","780,800","694,700","86,000","11.0"
"2010","Mar","Alameda County","Not Adj","Not Prelim","785,000","697,500","87,500","11.1"
"2010","Apr","Alameda County","Not Adj","Not Prelim","784,900","699,800","85,100","10.8"
"2010","May","Alameda County","Not Adj","Not Prelim","780,600","698,100","82,500","10.6"
"2010","Jun","Alameda County","Not Adj","Not Prelim","781,300","695,600","85,700","11.0"
"2010","Jul","Alameda County","Not Adj","Not Prelim","784,900","695,900","89,000","11.3"
"2010","Aug","Alameda County","Not Adj","Not Prelim","782,500","694,700","87,800","11.2"
"2010","Sep","Alameda County","Not Adj","Not Prelim","785,500","701,100","84,400","10.8"
"2010","Oct","Alameda County","Not Adj","Not Prelim","780,900","697,400","83,500","10.7"
"2010","Nov","Alameda County","Not Adj","Not Prelim","782,900","697,700","85,200","10.9"
"2010","Dec","Alameda County","Not Adj","Not Prelim","781,100","700,100","81,000","10.4"
"2009","Annual","Alameda County","Not Adj","Not Prelim","760,900","682,900","78,000","10.3"
"2009","Jan","Alameda County","Not Adj","Not Prelim","762,800","695,100","67,700","8.9"
"2009","Feb","Alameda County","Not Adj","Not Prelim","763,800","692,500","71,300","9.3"
"2009","Mar","Alameda County","Not Adj","Not Prelim","763,100","687,700","75,400","9.9"
"2009","Apr","Alameda County","Not Adj","Not Prelim","761,200","687,900","73,300","9.6"
"2009","May","Alameda County","Not Adj","Not Prelim","756,700","681,400","75,400","10.0"
"2009","Jun","Alameda County","Not Adj","Not Prelim","762,000","680,300","81,700","10.7"
"2009","Jul","Alameda County","Not Adj","Not Prelim","767,500","683,300","84,200","11.0"
"2009","Aug","Alameda County","Not Adj","Not Prelim","759,800","676,300","83,500","11.0"
"2009","Sep","Alameda County","Not Adj","Not Prelim","758,100","676,300","81,800","10.8"
"2009","Oct","Alameda County","Not Adj","Not Prelim","759,400","677,000","82,400","10.9"
"2009","Nov","Alameda County","Not Adj","Not Prelim","760,100","679,200","80,900","10.6"
"2009","Dec","Alameda County","Not Adj","Not Prelim","756,100","677,100","79,000","10.4"
"2017","Annual","Alpine County","Not Adj","Not Prelim","550","520","30","6.2"
"2017","Jan","Alpine County","Not Adj","Not Prelim","640","610","40","5.5"
"2017","Feb","Alpine County","Not Adj","Not Prelim","650","620","30","5.2"
"2017","Mar","Alpine County","Not Adj","Not Prelim","630","600","30","5.4"
"2017","Apr","Alpine County","Not Adj","Not Prelim","590","560","30","4.9"
"2017","May","Alpine County","Not Adj","Not Prelim","470","430","40","7.5"
"2017","Jun","Alpine County","Not Adj","Not Prelim","480","440","40","8.7"
"2017","Jul","Alpine County","Not Adj","Not Prelim","500","460","40","8.0"
"2017","Aug","Alpine County","Not Adj","Not Prelim","490","460","40","7.1"
"2017","Sep","Alpine County","Not Adj","Not Prelim","480","450","30","6.6"
"2017","Oct","Alpine County","Not Adj","Not Prelim","470","440","30","6.3"
"2017","Nov","Alpine County","Not Adj","Not Prelim","550","520","30","5.5"
"2017","Dec","Alpine County","Not Adj","Not Prelim","640","610","30","4.1"
"2016","Annual","Alpine County","Not Adj","Not Prelim","560","520","40","6.5"
"2016","Jan","Alpine County","Not Adj","Not Prelim","680","640","40","5.3"
"2016","Feb","Alpine County","Not Adj","Not Prelim","680","640","40","5.2"
"2016","Mar","Alpine County","Not Adj","Not Prelim","660","630","40","5.6"
"2016","Apr","Alpine County","Not Adj","Not Prelim","630","590","40","5.6"
"2016","May","Alpine County","Not Adj","Not Prelim","460","430","40","8.0"
"2016","Jun","Alpine County","Not Adj","Not Prelim","500","460","40","7.7"
"2016","Jul","Alpine County","Not Adj","Not Prelim","490","460","40","7.5"
"2016","Aug","Alpine County","Not Adj","Not Prelim","490","460","40","7.3"
"2016","Sep","Alpine County","Not Adj","Not Prelim","490","450","40","7.4"
"2016","Oct","Alpine County","Not Adj","Not Prelim","480","440","40","7.4"
"2016","Nov","Alpine County","Not Adj","Not Prelim","510","470","40","7.3"
"2016","Dec","Alpine County","Not Adj","Not Prelim","600","570","30","4.7"
"2015","Annual","Alpine County","Not Adj","Not Prelim","550","510","40","7.3"
"2015","Jan","Alpine County","Not Adj","Not Prelim","570","530","40","6.5"
"2015","Feb","Alpine County","Not Adj","Not Prelim","560","520","40","6.8"
"2015","Mar","Alpine County","Not Adj","Not Prelim","540","500","40","7.4"
"2015","Apr","Alpine County","Not Adj","Not Prelim","590","550","40","7.1"
"2015","May","Alpine County","Not Adj","Not Prelim","530","490","40","8.2"
"2015","Jun","Alpine County","Not Adj","Not Prelim","520","480","50","8.8"
"2015","Jul","Alpine County","Not Adj","Not Prelim","530","480","40","8.3"
"2015","Aug","Alpine County","Not Adj","Not Prelim","530","490","40","7.3"
"2015","Sep","Alpine County","Not Adj","Not Prelim","530","490","40","7.6"
"2015","Oct","Alpine County","Not Adj","Not Prelim","510","470","40","7.9"
"2015","Nov","Alpine County","Not Adj","Not Prelim","540","510","40","6.8"
"2015","Dec","Alpine County","Not Adj","Not Prelim","640","610","40","5.6"
"2014","Annual","Alpine County","Not Adj","Not Prelim","510","470","40","8.2"
"2014","Jan","Alpine County","Not Adj","Not Prelim","530","490","40","7.7"
"2014","Feb","Alpine County","Not Adj","Not Prelim","520","470","40","8.5"
"2014","Mar","Alpine County","Not Adj","Not Prelim","510","470","40","8.4"
"2014","Apr","Alpine County","Not Adj","Not Prelim","500","470","40","7.7"
"2014","May","Alpine County","Not Adj","Not Prelim","490","440","50","10.1"
"2014","Jun","Alpine County","Not Adj","Not Prelim","510","460","50","10.2"
"2014","Jul","Alpine County","Not Adj","Not Prelim","520","470","50","8.7"
"2014","Aug","Alpine County","Not Adj","Not Prelim","510","460","40","8.5"
"2014","Sep","Alpine County","Not Adj","Not Prelim","500","460","40","7.4"
"2014","Oct","Alpine County","Not Adj","Not Prelim","490","450","40","7.6"
"2014","Nov","Alpine County","Not Adj","Not Prelim","500","460","40","7.5"
"2014","Dec","Alpine County","Not Adj","Not Prelim","550","520","30","5.8"
"2013","Annual","Alpine County","Not Adj","Not Prelim","530","470","50","9.7"
"2013","Jan","Alpine County","Not Adj","Not Prelim","650","590","60","9.1"
"2013","Feb","Alpine County","Not Adj","Not Prelim","650","590","60","8.5"
"2013","Mar","Alpine County","Not Adj","Not Prelim","620","570","50","8.4"
"2013","Apr","Alpine County","Not Adj","Not Prelim","490","440","50","10.0"
"2013","May","Alpine County","Not Adj","Not Prelim","470","420","50","10.6"
"2013","Jun","Alpine County","Not Adj","Not Prelim","480","430","50","11.3"
"2013","Jul","Alpine County","Not Adj","Not Prelim","500","440","60","11.9"
"2013","Aug","Alpine County","Not Adj","Not Prelim","490","440","50","10.3"
"2013","Sep","Alpine County","Not Adj","Not Prelim","480","430","50","9.8"
"2013","Oct","Alpine County","Not Adj","Not Prelim","470","420","50","10.2"
"2013","Nov","Alpine County","Not Adj","Not Prelim","470","430","40","9.3"
"2013","Dec","Alpine County","Not Adj","Not Prelim","530","490","40","7.9"
"2012","Annual","Alpine County","Not Adj","Not Prelim","540","480","60","11.2"
"2012","Jan","Alpine County","Not Adj","Not Prelim","630","550","80","12.1"
"2012","Feb","Alpine County","Not Adj","Not Prelim","670","610","70","10.1"
"2012","Mar","Alpine County","Not Adj","Not Prelim","660","600","60","9.3"
"2012","Apr","Alpine County","Not Adj","Not Prelim","650","600","60","8.4"
"2012","May","Alpine County","Not Adj","Not Prelim","470","410","60","13.6"
"2012","Jun","Alpine County","Not Adj","Not Prelim","490","420","70","14.0"
"2012","Jul","Alpine County","Not Adj","Not Prelim","500","430","70","13.5"
"2012","Aug","Alpine County","Not Adj","Not Prelim","490","430","60","12.7"
"2012","Sep","Alpine County","Not Adj","Not Prelim","480","420","60","11.5"
"2012","Oct","Alpine County","Not Adj","Not Prelim","470","420","50","11.5"
"2012","Nov","Alpine County","Not Adj","Not Prelim","470","420","50","11.0"
"2012","Dec","Alpine County","Not Adj","Not Prelim","560","510","50","9.3"
"2011","Annual","Alpine County","Not Adj","Not Prelim","590","520","80","12.8"
"2011","Jan","Alpine County","Not Adj","Not Prelim","750","680","70","9.4"
"2011","Feb","Alpine County","Not Adj","Not Prelim","730","660","70","9.5"
"2011","Mar","Alpine County","Not Adj","Not Prelim","690","620","70","10.2"
"2011","Apr","Alpine County","Not Adj","Not Prelim","630","560","70","11.0"
"2011","May","Alpine County","Not Adj","Not Prelim","520","430","90","17.0"
"2011","Jun","Alpine County","Not Adj","Not Prelim","510","420","90","17.1"
"2011","Jul","Alpine County","Not Adj","Not Prelim","550","470","80","14.9"
"2011","Aug","Alpine County","Not Adj","Not Prelim","540","470","70","13.4"
"2011","Sep","Alpine County","Not Adj","Not Prelim","530","450","80","14.5"
"2011","Oct","Alpine County","Not Adj","Not Prelim","520","450","80","14.7"
"2011","Nov","Alpine County","Not Adj","Not Prelim","520","450","70","14.0"
"2011","Dec","Alpine County","Not Adj","Not Prelim","640","560","80","11.8"
"2010","Annual","Alpine County","Not Adj","Not Prelim","540","470","70","12.9"
